4724,,,,,,,,,,,,,,,,385,424,578,568,,NATIONAL AVERAGE:,,"$8,259",382,140,29,3,2,91,33,18,72,121,7,8,13,8,1,36,6,12,20,1,50,10,
Name,Charter #,Peer Group,Metropolitan Statistical Area,City,Country,State / Prov,Region,$ Total Assets,Asset Class,# Members,$ Total Share Deposits,# Share Deposit Accounts,$ Total Loans,# Loan Accounts,% Loans to Shares,CDCU?,CDFI?,CDCU / CDFI,HPCU,$ Average Assets per Member,# Average Accounts per Member,$ Net Earnings per Member,$ Average Balance per Account,Target,Fall 2025    Target,Reached out to?,Sponsor,On Advisory Board,Invests in Curql?,Invests Directly in Startups?,Works with Early Startups?,MDC Owner?,Juntos Avanzamos?,Fintech Accel?,Purchasing Banks?,Merging?,CUs Unite?,Interim CEO?,New CEO?,Tech Forward?,Tech Curious?,We Have Connections?,Showed Coalition Interest?,Active Coalition Member Nearby?,Talked to Us Before?,Notes?
Beach Municipal,20394,5,Virginia Beach,,USA,VA,Mid-Atlantic,"$166,893,812",Small,"9,245","$145,560,692","19,051","$87,974,762","7,201",60.4%,,,,Y,"$18,052",2.84,$44.15,"$8,896",,,,,,,,,,,,,,,,,,,,,,,
Ussco Johnstown,12219,5,Johnstown,,USA,PA,Mid-Atlantic,"$166,341,762",Small,"14,214","$156,755,227","30,047","$81,533,301","4,894",52.0%,,,,,"$11,703",2.46,$9.55,"$6,820",,,,,,,,,,,,,,,,,,,,,,,
Hercules First,24902,5,Salt Lake City,,USA,UT,Western,"$166,327,940",Small,"8,647","$113,639,595","14,318","$137,263,835","4,353",120.8%,,,,,"$19,235",2.16,$9.04,"$13,438",,,,,,,,,,,,,,,,,,,,,,,
JM Associates,23709,5,Jacksonville,,USA,FL,Southeast,"$166,303,871",Small,"8,470","$137,911,814","19,810","$94,383,294","8,855",68.4%,,,,,"$19,634",3.38,$10.98,"$8,104",,,,,,,,,,,,,,,,,,,,,,,
Riverfall,60942,5,Tuscaloosa,,USA,AL,Southeast,"$166,124,000",Small,"14,040","$151,115,625","25,749","$92,638,150","6,829",61.3%,,,,,"$11,832",2.32,-$6.88,"$7,482",,,,,,,,,,,,,,,,,,,,,,,
Rivertrust,473,5,Pearl,,USA,MS,Southeast,"$165,928,841",Small,"7,527","$142,132,671","12,989","$91,758,144","3,148",64.6%,,,,,"$22,044",2.14,$55.28,"$14,494",,,,,,,,,,,,,,,,,,,,,,,
Greater New Orleans,404,5,Metairie,,USA,LA,Southeast,"$165,925,807",Small,"14,715","$113,366,551","27,448","$138,266,430","12,314",122.0%,,Y,Y,,"$11,276",2.70,$31.36,"$6,328",,,,,,,,,,,,,,,,,,,,,,,
1st Gateway,63124,5,Camanche,,USA,IA,Midwest,"$165,814,288",Small,"10,600","$140,267,751","21,424","$130,472,942","10,199",93.0%,,,,Y,"$15,643",2.98,$29.72,"$8,562",,,,,,,,,,,,,,,,,,,,,,,
New Bedford,66733,5,New Bedford,,USA,MA,New England,"$165,544,875",Small,"10,926","$148,557,730","23,583","$110,282,558","7,286",74.2%,,,,Y,"$15,151",2.83,$30.36,"$8,385",,,,,,,,,,,,,,,,,,,,,,,
Employees,63299,5,Estherville,,USA,IA,Midwest,"$165,256,667",Small,"8,855","$131,719,397","16,423","$88,777,384","6,112",67.4%,,,,Y,"$18,663",2.54,$72.85,"$9,785",,,,,,,,,,,,,,,,,,,,,,,
Trailnorth,9219,5,Ticonderoga,,USA,NY,Mid-Atlantic,"$165,200,367",Small,"10,922","$142,121,750","22,081","$95,340,091","6,623",67.1%,,Y,Y,Y,"$15,125",2.63,$12.25,"$8,273",,,,,,,,,,,,,,,,,,,,,,,
Sebasticook Valley,8936,5,Pittsfield,,USA,ME,New England,"$164,725,565",Small,"12,236","$130,447,089","26,328","$145,115,532","10,651",111.2%,,,,,"$13,462",3.02,$44.45,"$7,452",,,,,,,,,,,,,,,,,,,,,,,
Sentinel,10257,5,Box Elder,,USA,SD,Midwest,"$164,712,932",Small,"9,375","$146,958,846","21,524","$103,383,969","4,690",70.3%,,,,Y,"$17,569",2.80,$24.27,"$9,550",,,,,,,,,,,,,,,,,,,,,,,
Big Island,1607,5,Hilo,,USA,HI,Western,"$164,292,164",Small,"9,903","$147,107,979","17,824","$50,736,478","3,815",34.5%,,,,,"$16,590",2.19,$31.23,"$9,143",,,,,,,,,,,,,,,,,,,,,,,
Ufcw Community,10973,5,Wyoming,,USA,PA,Mid-Atlantic,"$164,126,740",Small,"17,158","$145,710,536","34,238","$64,491,951","4,609",44.3%,,,,,"$9,566",2.26,$24.38,"$5,411",,,,,,,,,,,,,,,,,,,,,,,
Lincoln County,63199,5,Libby,,USA,MT,Cascadia,"$164,079,498",Small,"5,636","$130,468,304","11,866","$70,283,278","2,420",53.9%,,,,Y,"$29,113",2.53,$90.38,"$14,052",,,,,,,,,,,,,,,,,,,,,,,
Miami Firefighters,872,5,Miami,,USA,FL,Southeast,"$163,872,590",Small,"5,802","$143,446,507","11,447","$116,678,639","4,145",81.3%,,,,Y,"$28,244",2.69,$93.60,"$16,683",,,,,,,,,,,,,,,,,,,,,,,
Cincinnati Ohio Police,389,5,Cincinnati,,USA,OH,Midwest,"$163,328,968",Small,"10,821","$143,934,240","23,702","$98,771,178","11,215",68.6%,,,,,"$15,094",3.23,$9.75,"$6,951",,,,,,,,,,,,,,,,,,,,,,,
Community Powered FCU,15185,5,Philadelphia,"Bear, DE",USA,PA,Mid-Atlantic,"$162,973,675",Small,"8,313","$107,642,593","16,522","$54,018,356","2,442",50.2%,,,,,"$19,605",2.28,$67.66,"$8,525",Y,,,,,,,,,,,,,,,,,,,,,,
Best Reward,24920,5,Brook Park,,USA,OH,Midwest,"$162,822,343",Small,"12,895","$123,333,484","17,389","$33,363,822","3,836",27.1%,,,,,"$12,627",1.65,$12.05,"$7,383",,,,,,,,,,,,,,,,,,,,,,,
Greenville Heritage,4400,5,Greenville,,USA,SC,Southeast,"$162,695,068",Small,"11,942","$142,335,910","21,061","$91,404,599","5,938",64.2%,,Y,Y,,"$13,624",2.26,-$2.86,"$8,657",,,,,,,,,,,,,,,,,,,,,,,
The Focus,10283,5,Oklahoma City,,USA,OK,South Central,"$162,590,055",Small,"11,881","$150,009,803","21,615","$120,598,139","6,808",80.4%,,Y,Y,,"$13,685",2.39,-$0.43,"$9,521",,,,,,,,,,,,,,,,,,,,,,,
Rock Valley CU,68687,5,Loves Park,,USA,IL,Midwest,"$162,318,125",Small,"15,613","$138,241,981","31,397","$122,773,918","5,931",88.8%,,,,,"$10,396",2.39,$3.90,"$6,992",,,,,,,,,,,,,,,,,,,,,,,
Arapahoe,64110,5,Littleton,,USA,CO,Western,"$162,120,360",Small,"12,303","$150,952,220","19,767","$124,489,844","6,812",82.5%,,Y,Y,,"$13,177",2.16,$3.16,"$10,363",,,,,,,,,,,,,,,,,,,,,,,
South Bay CU,95052,5,Los Angeles,Redondo Beach,USA,CA,Western,"$162,115,708",Small,"9,485","$133,955,736","18,998","$121,435,303","4,106",90.7%,,,,,"$17,092",2.44,$4.02,"$11,054",Y,,,,,,,,,,,,,,,,,,,,,,
Xplore,23017,5,Metairie,,USA,LA,Southeast,"$161,757,569",Small,"7,885","$124,249,386","16,251","$108,167,820","4,430",87.1%,Y,,Y,Y,"$20,515",2.62,$141.78,"$11,238",,,,,,,,,,,,,,,,,,,,,,,
Space Age,68737,5,Aurora,,USA,CO,Western,"$161,274,426",Small,"16,624","$146,431,411","23,772","$119,708,814","9,364",81.8%,,,,,"$9,701",1.99,$0.87,"$8,032",,,,,,,,,,,,,,,,,,,,,,,
Cent,65238,5,Mason City,,USA,IA,Midwest,"$161,264,180",Small,"11,264","$142,658,270","21,833","$115,927,420","4,567",81.3%,,,,,"$14,317",2.34,$34.17,"$9,795",,,,,,,,,,,,,,,,,,,,,,,
St. Cloud Federal Employees,24585,3,St Cloud,,USA,MN,Midwest,"$161,066,671",Small,"22,970","$137,707,209","37,350","$87,673,746","7,168",63.7%,Y,Y,Y,,"$7,012",1.94,$8.39,"$5,063",,,,,,,,,,,,,,,,,,,,,,,
Mississippi,24585,5,Jackson,,USA,MS,Southeast,"$161,066,671",Small,"22,970","$137,707,209","37,350","$87,673,746","7,168",63.7%,,,,,"$7,012",1.94,$8.39,"$5,063",,,,,,,,,,,,,,,,,,,,,,,
Conservation Employees,64199,5,Jefferson City,,USA,MO,South Central,"$161,033,899",Small,"9,197","$148,020,754","18,354","$118,651,405","106,242",80.2%,,,,,"$17,509",13.55,$5.58,"$2,140",,,,,,,,,,,,,,,,,,,,,,,
Code,66840,5,Dayton,,USA,OH,Midwest,"$160,868,578",Small,"12,451","$142,233,133","25,602","$91,461,789","8,426",64.3%,,,,,"$12,920",2.73,$32.02,"$6,868",,,,,,,,,,,,,,,,,,,,,,,
KaiPerm NW FCU,20516,5,Portland,,USA,OR,Cascadia,"$160,414,952",Small,"5,851","$103,648,302","12,184","$60,277,189","3,279",58.2%,,,,Y,"$27,417",2.64,$28.85,"$10,601",Y,,,,,,,,,,,,,,,,,,,,,,
44 North,68739,5,Lebanon,,USA,OR,Cascadia,"$160,398,904",Small,"13,304","$141,062,382","22,792","$123,362,196","9,553",87.5%,,,,,"$12,056",2.43,$12.16,"$8,175",,,,,,,,,,,,,,,,,,,,,,,
Associated Healthcare,60466,5,Woodbury,,USA,MN,Midwest,"$160,183,594",Small,"12,504","$142,074,860","21,824","$126,637,569","8,328",89.1%,,,,,"$12,811",2.41,$32.56,"$8,912",,,,,,,,,,,,,,,,,,,,,,,
East County Schools,11099,5,El Cajon,,USA,CA,Western,"$159,555,260",Small,"4,659","$145,631,127","11,444","$80,939,918","5,089",55.6%,,,,Y,"$34,247",3.55,$14.27,"$13,704",,,,,,,,,,,,,,,,,,,,,,,
Pioneer Valley,24443,5,Springfield,,USA,MA,New England,"$159,261,213",Small,"11,534","$129,552,994","23,835","$126,397,900","10,357",97.6%,,,,,"$13,808",2.96,$10.02,"$7,486",,,,,,,,,,,,,,,,,,,,,,,
Bfg,511,5,Akron,,USA,OH,Midwest,"$158,861,673",Small,"21,628","$140,359,557","32,590","$104,669,979","16,500",74.6%,,,,,"$7,345",2.27,$7.91,"$4,991",,,,,,,,,,,,,,,,,,,,,,,
Magnolia,224,5,Jackson,,USA,MS,Southeast,"$158,854,847",Small,"19,777","$127,420,779","36,045","$104,532,083","15,066",82.0%,Y,Y,Y,,"$8,032",2.58,$34.95,"$4,538",,,,,,,,,,,,,,,,,,,,,,,
Abbey,97111,5,Vandalia,,USA,OH,Midwest,"$158,761,538",Small,"12,808","$141,912,799","24,368","$118,017,639","8,065",83.2%,,Y,Y,,"$12,395",2.53,$36.91,"$8,014",,,,,,,,,,,,,,,,,,,,,,,
Long Reach,22241,5,Middlebourne,,USA,WV,Mid-Atlantic,"$158,428,203",Small,"9,732","$140,683,031","19,915","$109,582,011","7,304",77.9%,,,,Y,"$16,279",2.80,$23.68,"$9,194",,,,,,,,,,,,,,,,,,,,,,,
Arize,24187,5,State College,,USA,PA,Mid-Atlantic,"$158,365,993",Small,"11,943","$139,713,241","30,949","$102,168,229","4,584",73.1%,,,,,"$13,260",2.98,$5.15,"$6,807",,,,,,,,,,,,,,,,,,,,,,,
Foothills,67181,5,Wheat Ridge,,USA,CO,Western,"$158,198,636",Small,"11,519","$144,254,949","17,878","$109,744,289","4,153",76.1%,,,,,"$13,734",1.91,$6.77,"$11,529",,,,,,,,,,,,,,,,,,,,,,,
Scenic Community,67747,5,Hixson,,USA,TN,Southeast,"$158,059,843",Small,"14,627","$137,149,154","23,196","$126,251,067","6,680",92.1%,,,,,"$10,806",2.04,$8.29,"$8,816",,,,,,,,,,,,,,,,,,,,,,,
Northern Hills,6986,5,Sturgis,,USA,SD,Midwest,"$158,000,136",Small,"11,360","$127,177,151","22,302","$116,482,266","5,858",91.6%,,,,,"$13,908",2.48,$10.21,"$8,653",,,,,,,,,,,,,,,,,,,,,,,
North Star Community,62638,5,Cherokee,,USA,IA,Midwest,"$157,960,819",Small,"11,936","$140,897,411","23,595","$112,759,697","7,391",80.0%,,,,,"$13,234",2.60,$29.38,"$8,186",,,,,,,,,,,,,,,,,,,,,,,
Harborlight,62066,5,Whitehall,,USA,MI,Midwest,"$157,669,848",Small,"11,480","$140,352,511","23,454","$99,553,509","7,306",70.9%,,,,,"$13,734",2.68,$28.36,"$7,799",,,,,,,,,,,,,,,,,,,,,,,
Ignite,68729,5,Grandville,,USA,MI,Midwest,"$157,186,706",Small,"14,050","$135,449,725","28,595","$113,842,601","7,726",84.0%,,,,,"$11,188",2.59,$9.83,"$6,864",,,,,,,,,,,,,,,,,,,,,,,
Ulster,21694,5,Kingston,,USA,NY,Mid-Atlantic,"$156,728,954",Small,"7,258","$150,913,187","16,643","$44,028,809","4,106",29.2%,,,,Y,"$21,594",2.86,$86.48,"$9,395",,,,,,,,,,,,,,,,,,,,,,,
H.p.c.,62219,5,Alpena,,USA,MI,Midwest,"$156,383,860",Small,"7,271","$135,018,979","17,172","$79,738,175","2,901",59.1%,,,,Y,"$21,508",2.76,$37.38,"$10,699",,,,,,,,,,,,,,,,,,,,,,,
Chemcel,7129,5,Bishop,,USA,TX,South Central,"$156,341,744",Small,"9,411","$135,486,007","19,082","$97,576,544","7,045",72.0%,,,,Y,"$16,613",2.78,$33.77,"$8,920",,,,,,,,,,,,,,,,,,,,,,,
Employee Resources,67789,5,Lawrenceburg,,USA,TN,Southeast,"$156,313,172",Small,"22,621","$140,071,174","39,858","$124,293,898","11,165",88.7%,,,,,"$6,910",2.26,$10.92,"$5,181",,,,,,,,,,,,,,,,,,,,,,,
Mountain Laurel,20053,5,Saint Marys,,USA,PA,Mid-Atlantic,"$156,228,777",Small,"18,587","$130,618,170","29,249","$79,755,123","6,365",61.1%,,,,,"$8,405",1.92,$42.17,"$5,907",,,,,,,,,,,,,,,,,,,,,,,
Rio Grande Valley Credit Union,61734,5,Harlingen,,USA,TX,South Central,"$155,736,324",Small,"17,476","$138,073,228","33,175","$81,881,785","6,765",59.3%,,Y,Y,,"$8,911",2.29,$20.01,"$5,507",,,,,,,,,,,,,,,,,,,,,,,
Valley Isle Community,3574,5,Kahului,,USA,HI,Western,"$155,672,480",Small,"13,276","$147,560,315","22,346","$52,382,543","5,921",35.5%,,,,,"$11,726",2.13,$22.78,"$7,073",,,,,,,,,,,,,,,,,,,,,,,
Kings,10395,5,Hanford,,USA,CA,Western,"$155,166,296",Small,"9,653","$134,871,622","13,608","$89,891,277","5,361",66.6%,,,,,"$16,074",1.97,$21.93,"$11,849",,,,,,,,,,,,,,,,,,,,,,,
Latah,97102,5,Moscow,,USA,ID,Cascadia,"$155,147,197",Small,"7,837","$142,267,129","18,241","$85,399,256","2,753",60.0%,,,,Y,"$19,797",2.68,$76.57,"$10,844",,,,,,,,,,,,,,,,,,,,,,,
Greater Woodlawn,18800,5,Blasdell,,USA,NY,Mid-Atlantic,"$155,070,006",Small,"13,810","$121,196,053","12,358","$58,233,273","2,762",48.0%,,,,,"$11,229",1.09,$56.46,"$11,867",,,,,,,,,,,,,,,,,,,,,,,
Family Financial CU (FFCU),61633,5,Norton Shores,,USA,MI,Midwest,"$154,991,192",Small,"16,784","$136,626,147","29,689","$99,597,441","9,039",72.9%,,,,,"$9,234",2.31,$8.89,"$6,100",,,,,,,,,,,,,,,,,,,,,,,
Communities Of Abilene,10706,5,Abilene,,USA,TX,South Central,"$154,921,821",Small,"10,966","$150,237,782","19,156","$72,632,771","4,527",48.3%,,,,,"$14,127",2.16,$13.54,"$9,411",,,,,,,,,,,,,,,,,,,,,,,
Quantum CU,67187,5,Wichita,,USA,KS,South Central,"$154,725,921",Small,"11,544","$127,006,605","20,602","$118,515,109","6,701",93.3%,,,,,"$13,403",2.37,$9.05,"$8,992",,,,,,,,,,Y,,,,,,,,,,,,,
Sjp,3306,5,Buffalo,,USA,NY,Mid-Atlantic,"$154,463,853",Small,"7,042","$131,572,535","11,537","$130,116,848","4,356",98.9%,,,,,"$21,935",2.26,$45.31,"$16,466",,,,,,,,,,,,,,,,,,,,,,,
Safe Harbor,61988,5,Ludington,,USA,MI,Midwest,"$154,461,118",Small,"8,135","$124,502,135","18,076","$131,216,834","5,234",105.4%,,,,Y,"$18,987",2.87,$48.33,"$10,970",,,,,,,,,,,,,,,,,,,,,,,
Crosspoint,1309,5,Hamden,,USA,CT,New England,"$154,454,626",Small,"10,263","$136,804,931","22,173","$67,140,885","5,020",49.1%,Y,,Y,,"$15,050",2.65,$13.65,"$7,500",,,,,,,,,,,,,,,,,,,,,,,
Tonawanda Valley,22167,5,Batavia,,USA,NY,Mid-Atlantic,"$154,275,637",Small,"13,011","$139,040,199","24,993","$84,394,863","8,162",60.7%,,,,,"$11,857",2.55,$20.45,"$6,739",,,,,,,,,,,,,,,,,,,,,,,
Johnsonville Tva Employees,60345,5,Camden,,USA,TN,Southeast,"$154,127,179",Small,"10,432","$131,505,031","18,416","$88,478,999","6,778",67.3%,,,,,"$14,774",2.42,$61.22,"$8,732",,,,,,,,,,,,,,,,,,,,,,,
Mission City,13131,5,Santa Clara,,USA,CA,Western,"$153,207,254",Small,"4,249","$136,687,590","8,885","$99,987,491","6,734",73.2%,,,,,"$36,057",3.68,-$5.58,"$15,153",,,,,,,,,,,,,,,,,,,,,,,
Chocolate Bayou Community,15143,5,Alvin,,USA,TX,South Central,"$153,106,507",Small,"12,360","$135,913,263","24,530","$86,691,007","7,343",63.8%,,,,,"$12,387",2.58,$28.77,"$6,984",,,,,,,,,,,,,,,,,,,,,,,
Winnebago Community,66437,5,Oshkosh,,USA,WI,Midwest,"$152,623,822",Small,"8,522","$130,510,188","19,783","$127,333,108","4,231",97.6%,,,,Y,"$17,909",2.82,$34.14,"$10,737",,,,,,,,,,,,,,,,,,,,,,,
Cornerstone CU (IL),60189,5,Freeport,,USA,IL,Midwest,"$152,106,342",Small,"9,457","$134,902,759","18,712","$92,162,068","190,983",68.3%,,,,,"$16,084",22.17,$28.42,"$1,083",,,,,,,,Y,,,,,,,,,,,,,,,Partnered with Nickels
Heritage Grove FCU,16113,5,Salem,,USA,OR,Cascadia,"$152,051,364",Small,"9,014","$140,691,755","17,775","$104,547,454","5,971",74.3%,,,,Y,"$16,868",2.63,$33.14,"$10,328",,,,,,,,,,,,,,,,,,,,,,,
The District,14369,5,Aurora,,USA,CO,Western,"$151,923,999",Small,"6,527","$122,148,408","12,955","$94,175,255","2,575",77.1%,,,,,"$23,276",2.38,-$1.52,"$13,929",,,,,,,,,,,,,,,,,,,,,,,
Natco CU,65208,5,Richmond,,USA,IN,Midwest,"$151,794,877",Small,"17,202","$122,834,705","39,788","$105,676,327","13,301",86.0%,Y,Y,Y,,"$8,824",3.09,$22.18,"$4,304",,,,,,,,,,,,,,,,,,,,,,,
Ukrainian National,17107,5,New York,,USA,NY,Mid-Atlantic,"$151,621,104",Small,"6,531","$125,966,302","11,818","$113,335,918","1,522",90.0%,,,,,"$23,216",2.04,$0.48,"$17,939",,,,,,,,,,,,,,,,,,,,,,,
Advanz,19853,5,Louisville,,USA,KY,Southeast,"$151,502,398",Small,"9,903","$128,680,188","17,613","$70,731,383","4,431",55.0%,,,,,"$15,299",2.23,$30.40,"$9,046",,,,,,,,,,,,,,,,,,,,,,,
N.e.w.,67017,5,Oconto Falls,,USA,WI,Midwest,"$151,496,188",Small,"12,127","$133,855,145","28,040","$75,122,215","23,707",56.1%,,,,,"$12,492",4.27,$10.69,"$4,038",,,,,,,,,,,,,,,,,,,,,,,
Minnesota Power Employees,60377,5,Duluth,,USA,MN,Midwest,"$151,378,340",Small,"5,093","$109,531,536","11,001","$102,632,936","100,753",93.7%,,Y,Y,,"$29,723",21.94,$51.00,"$1,898",,,,,,,,,,,,,,,,,,,,,,,
Wymar,12330,5,Geismar,,USA,LA,Southeast,"$151,207,290",Small,"4,980","$129,361,289","11,402","$112,193,771","3,017",86.7%,,,,Y,"$30,363",2.90,$84.35,"$16,753",,,,,,,,,,,,,,,,,,,,,,,
First Coast Community,68524,5,Palatka,,USA,FL,Southeast,"$150,920,802",Small,"12,070","$130,965,769","21,132","$49,272,333","3,939",37.6%,,,,,"$12,504",2.08,$35.03,"$7,189",,,,,,,,,,,,,,,,,,,,,,,
Prime Financial CU,66449,5,Cudahy,,USA,WI,Midwest,"$150,831,079",Small,"16,299","$132,884,737","29,005","$124,074,452","10,795",93.4%,Y,Y,Y,,"$9,254",2.44,$19.42,"$6,456",,,,,,,,,,Y,,,,,,,,,,,,,
Community Service,67974,5,Huntsville,,USA,TX,South Central,"$150,580,276",Small,"10,952","$118,838,311","26,011","$103,975,246","6,411",87.5%,,,,,"$13,749",2.96,$7.23,"$6,872",,,,,,,,,,,,,,,,,,,,,,,
Southern Chautauqua FCU,9107,5,Lakewood,,USA,NY,Mid-Atlantic,"$150,459,539",Small,"19,115","$120,164,460","53,376","$114,526,558","8,880",95.3%,Y,Y,Y,,"$7,871",3.26,$25.67,"$3,770",,,,,,,,,,Y,,,,,,,,,,,,,
Artesia,62783,5,Artesia,,USA,NM,Western,"$150,452,568",Small,"9,279","$121,359,202","12,896","$109,247,289","3,812",90.0%,,,,,"$16,214",1.80,$53.41,"$13,802",,,,,,,,,,,,,,,,,,,,,,,
Century,60435,5,Saint Louis,,USA,MO,South Central,"$150,152,490",Small,"8,961","$122,509,182","19,417","$83,323,215","118,661",68.0%,,,,,"$16,756",15.41,$49.88,"$1,491",,,,,,,,,,,,,,,,,,,,,,,
Vocality Community,65388,5,Garberville,,USA,CA,Western,"$150,147,895",Small,"9,142","$116,532,830","16,949","$120,987,866","4,363",103.8%,Y,Y,Y,,"$16,424",2.33,-$5.88,"$11,145",,,,,,,,,,,,,,,,,,,,,,,
Cheney FCU,7101,5,Spokane,Cheney,USA,WA,Cascadia,"$149,810,814",Small,"6,380","$135,223,150","13,803","$74,665,539","3,820",55.2%,,,,Y,"$23,481",2.76,$10.98,"$11,910",,,,,,,,,,,,,,,,,,,,,,,
Town Of Hempstead Employees,15539,5,North Baldwin,,USA,NY,Mid-Atlantic,"$149,711,077",Small,"9,374","$134,909,719","13,790","$59,981,436","4,950",44.5%,,,,,"$15,971",2.00,$2.32,"$10,400",,,,,,,,,,,,,,,,,,,,,,,
Go Energy Financial,68698,5,Atlanta,Tucker,USA,GA,Southeast,"$149,625,185",Small,"11,103","$129,762,709","19,244","$97,238,094","5,850",74.9%,,,,,"$13,476",2.26,$32.28,"$9,046",,,,,,,,,,,,,,,,,,,,,,,
Jefferson Parish Employees,13271,5,Harahan,,USA,LA,Southeast,"$149,576,388",Small,"13,662","$132,971,248","25,674","$89,019,317","9,449",66.9%,,,,,"$10,948",2.57,-$3.41,"$6,320",,,,,,,,,,,,,,,,,,,,,,,
White Eagle,63189,5,Augusta,,USA,KS,South Central,"$149,497,305",Small,"15,581","$126,581,341","27,102","$96,750,114","6,879",76.4%,,,,,"$9,595",2.18,$31.84,"$6,572",,,,,,,,,,,,,,,,,,,,,,,
Leading Edge,66867,5,Worthington,,USA,MN,Midwest,"$149,375,086",Small,"11,402","$123,105,823","21,500","$106,976,985","6,197",86.9%,,,,,"$13,101",2.43,$2.61,"$8,307",,,,,,,,,,,,,,,,,,,,,,,
Ohio Educational,95107,5,Cleveland,,USA,OH,Midwest,"$149,326,762",Small,"15,000","$135,582,029","24,634","$95,159,266","7,288",70.2%,,,,,"$9,955",2.13,$13.55,"$7,228",,,,,,,,,,,,,,,,,,,,,,,
Georgia Heritage FCU,3800,5,Savannah,,USA,GA,Southeast,"$149,068,572",Small,"15,218","$131,522,676","24,223","$93,627,505","5,811",71.2%,,,,,"$9,796",1.97,$19.43,"$7,497",Y,,,,,,,,,,,,,,,,,,,,,,
Lakeview,14584,5,Ashtabula,,USA,OH,Midwest,"$148,969,673",Small,"8,768","$133,186,088","17,068","$61,224,529","2,597",46.0%,,,,,"$16,990",2.24,$25.47,"$9,886",,,,,,,,,,,,,,,,,,,,,,,
Finex,68662,5,East Hartford,,USA,CT,New England,"$148,880,700",Small,"19,117","$123,783,982","28,521","$113,090,334","8,564",91.4%,,,,,"$7,788",1.94,-$25.66,"$6,387",,,,,,,,,,,,,,,,,,,,,,,
Ontario Shores,14462,5,Newfane,,USA,NY,Mid-Atlantic,"$148,660,318",Small,"8,701","$131,495,020","17,444","$82,396,003","4,835",62.7%,,,,Y,"$17,085",2.56,$43.66,"$9,601",,,,,,,,,,,,,,,,,,,,,,,
River City FCU,926,5,San Antonio,,USA,TX,South Central,"$148,543,110",Small,"14,955","$115,059,862","28,593","$111,093,969","12,809",96.6%,Y,Y,Y,,"$9,933",2.77,-$33.88,"$5,462",,,,,,,,,,Y,,,,,,,,,,,,,
Siskiyou,61682,5,Yreka,,USA,CA,Western,"$148,388,672",Small,"10,478","$125,436,422","17,845","$99,887,420","5,884",79.6%,Y,Y,Y,,"$14,162",2.26,$10.40,"$9,496",,,,,,,,,,,,,,,,,,,,,,,
Clearpath,9556,5,Burbank,,USA,CA,Western,"$148,370,777",Small,"10,904","$114,606,861","18,273","$107,145,321","9,976",93.5%,,,,,"$13,607",2.59,-$13.86,"$7,850",,,,,,,,,,,,,,,,,,,,,,,
Campbell,2141,5,Maple Shade,,USA,NJ,Mid-Atlantic,"$148,317,744",Small,"11,278","$128,867,145","16,409","$63,282,070","9,737",49.1%,,,,,"$13,151",2.32,$1.16,"$7,349",,,,,,,,,,,,,,,,,,,,,,,
Affinity CU (IA),62829,5,Des Moines,,USA,IA,Midwest,"$148,011,113",Small,"13,618","$130,071,781","26,090","$98,826,752","6,523",76.0%,Y,,Y,,"$10,869",2.39,$33.42,"$7,019",,,,,,,,,,,,,,,,,,,,,,,
Wayne-westland,5928,5,Westland,,USA,MI,Midwest,"$148,008,163",Small,"11,074","$138,919,427","21,274","$72,427,930","8,858",52.1%,,Y,Y,,"$13,365",2.72,$27.08,"$7,014",,,,,,,,,,,,,,,,,,,,,,,
Financial Builders,16213,5,Kokomo,,USA,IN,Midwest,"$148,004,059",Small,"11,428","$115,578,321","24,783","$100,229,240","5,963",86.7%,,,,,"$12,951",2.69,$25.46,"$7,019",,,,,,,,,,,,,,,,,,,,,,,
Hartford,14388,5,Hartford,,USA,CT,New England,"$147,723,282",Small,"16,708","$127,478,958","30,520","$64,700,999","4,391",50.8%,,,,,"$8,841",2.09,$13.26,"$5,505",,,,,,,,,,,,,,,,,,,,,,,
Aflac,16096,5,Columbus,,USA,GA,Southeast,"$147,466,945",Small,"15,720","$104,083,081","14,651","$13,878,798",998,13.3%,,,,,"$9,381",1.00,$44.18,"$7,538",,,,,,,,,,,,,,,,,,,,,,,
Arkansas Best,13737,5,Fort Smith,,USA,AR,South Central,"$147,352,316",Small,"12,199","$126,781,219","23,514","$60,876,439","6,795",48.0%,,,,,"$12,079",2.48,-$7.99,"$6,191",,,,,,,,,,,,,,,,,,,,,,,
Harbor Pointe,60207,5,Duluth,,USA,MN,Midwest,"$147,087,400",Small,"8,116","$130,166,021","15,906","$114,952,365","6,806",88.3%,,,,Y,"$18,123",2.80,$18.62,"$10,792",,,,,,,,,,,,,,,,,,,,,,,
Alternatives,23283,5,Ithaca,,USA,NY,Mid-Atlantic,"$147,075,195",Small,"10,524","$122,997,587","27,537","$86,239,904","4,900",70.1%,Y,Y,Y,,"$13,975",3.08,-$1.11,"$6,451",,,,,,,,,,,,,,,,,,,,,,,
Telco Triad Community CU,63218,5,Sioux City,,USA,IA,Midwest,"$146,741,875",Small,"15,715","$118,348,056","24,486","$117,638,836","9,216",99.4%,,,,,"$9,338",2.14,$17.64,"$7,002",,,,,,,,,,Y,,,,,,,,,,,,,
